과제명,기관명,담당부서,전화번호,연구기간,연구분야,과제개요,수행기관,수행연구원,계약일자,계약방식,계약금액
고용상태 영향조사(2023년),고용노동부,지역산업고용정책과,044-202-7414,2023-06-27 ~ 2023-12-18,고용정책,"자동차,석탄화력,철강등의업종에서탄소중립이행과정에서발생하는고용상태의변화를조사·분석",한국노동연구원,강동우,,경쟁 입찰 후 수의계약,"410,909,090원"
첨단산업 디지털 핵심인재 양성훈련(KDT) 분야 확대 방안 연구,고용노동부,인적자원개발과,044-202-7137,2023-10-10 ~ 2024-01-31,평생학습 및 직업교육체제 구축,"‘23년부터K-디지털트레이닝의지원범위가차세대반도체,드론등첨단산업분야까지확대됨에따라,첨단산업분야훈련활성화방안을모색하고디지털융·복합분야와같이보다포괄적인분야까지훈련이이루어질수있도록제도개선방안도출",한국기술교육대학교 산학협력단,임경화,,경쟁 입찰 후 수의계약,"40,000,000원"
교통사고조사원 등 종사 실태 연구,고용노동부,산업안전보건본부 산재보상정책과,044-202-8838,2023-08-24 ~ 2023-12-29,산재보험,교통사고조사원에대한산재보험적용필요성등검토를위하여세부종사실태파악,한국직업능력연구원,서유정,,경쟁 입찰 후 수의계약,"25,000,000원"
화물차주 종사 실태 연구,고용노동부,산업안전보건본부 산재보상정책과,044-202-8838,2023-08-24 ~ 2023-12-29,산재보험,"ㅇ택배기사에대해산재보험이전면적용(‘23.7월)되었으나,적정경비공제율산정필요에따른실태조사실시",한국여성정책연구원,박수범,,경쟁 입찰 후 수의계약,"40,000,000원"
산재보험의 보험료 부과 개선방안 연구,고용노동부,산업안전보건본부 산재보상정책과,044-202-8837,2023-03-08 ~ 2023-09-30,산재보험,"ㅇ업종별산재보험수지율분석,사업종류세목별사례분석등을통한업종분류방안,중대재해예방을위한개별실적요율제개선방안등검토",사단법인 한국보험연구원,정홍주,,경쟁 입찰 후 수의계약,"40,000,000원"
일하는 사람을 위한 산재보험법 개편에 관한 연구,고용노동부,산업안전보건본부 산재보상정책과,044-202-8838,2023-03-08 ~ 2023-10-31,산재보험,○산업구조와일하는형태의다양화를반영해산재보험을사업주책임보험성격에서고용형태와관계없이일하는사람을전반적으로보호하기위한사회보험성격을강화하는방안검토,사단법인 한국노동법학회,박귀천,,경쟁 입찰 후 수의계약,"50,000,000원"
청년고용촉진특별법 상 청년 연령 및 청년의무고용제 연장 검토 연구,고용노동부,청년고용기획과,044-202-7468,2023-03-02 ~ 2023-12-11,고용정책,"ㅇ최근법상청년연령관련논의가계속되는상황에서,청년고용촉진특별법및시행령상규정되어있는“청년연령”에대한변경필요성및개선방향에대한검토필요ㅇ아울러공공기관청년고용의무제가23년종료됨에따라,연장필요성등을선제적으로검토하여개선방안을마련할필요ㅇ국내ㆍ외법상청년고용연령등을종합검토하여통해청년일자리정책대상으로의청년의연령개선필요성등-현재시행령에규정되어있는청년고용의무제적용제외규정을검토하여합리적인방안마련ㅇ청년고용의무제관련연장필요성및연장시기간,의무고용비율등을재검토하여개선방안도출ㅇ공공기관청년고용의무제효과성및연장검토-현재청년고용상황및청년고용의무제효과성등을고려하여제도의연장필요성및관련조문개정방향검토-청년고용의무제연장필요시연장기간,의무고용비율,이행수단등을검토하여개선방안도출ㅇ청년인구구조및경제상황과청년정책과의관련성및성과분석,향후청년노동시장전망,각분야별정책방향마련및사업화,청년고용정책소통및체감도제고등청년고용활성화를위한청년고용정책마련에의시사점도출을주요내용",한국노동연구원,김세움,,일반경쟁입찰에 의한 계약,"40,000,000원"
구직자 도약보장 패키지 성과 분석 및 발전방안 연구,고용노동부,고용서비스정책과,044-202-7338,2023-03-24 ~ 2023-11-23,고용정책,"급변하는노동환경에서구직자가노동시장적응력을높일수있도록경력설계에대한지원강화가필요하며,이에변화하는노동시장에맞게구직자도약보장패키지사업모델을계속적으로고도화하는것이중요ㅇ23년확대실시하는구직자도약보장패키지의성공적인안착을뒷받침할수있도록사업성과에대한객관적이고전문적인분석이필요",한국고용정보원,고재성,,일반경쟁입찰에 의한 계약,"50,000,000원"
고용서비스 고도화를  위한 실업급여 온라인 등 부문별 해외사례연구,고용노동부,고용서비스정책과,044-202-7338,2023-03-27 ~ 2023-12-15,고용정책,"ㅇ실업급여·직업훈련·국민취업지원제도·온라인고용서비스운영사례등고용서비스세부부문별OECD주요선진국의코로나19이후변화사례를분석-전문가포럼등을통해논의하고,한국고용서비스의시사점등모색",건국대학교 산학협력단,윤동열,,일반경쟁입찰에 의한 계약,"70,000,000원"
고용 관련 데이터 분석을 통한 기업 맞춤 고용서비스 제공방안 연구,고용노동부,고용정책실 고용서비스정책관 고용서비스기반과,044-202-7674,2023-06-07 ~ 2023-09-30,고용정책,"ㅇ빅데이터분석,인공지능기술을활용하여개인에게맞춤직업상담지원서비스(JobCare)를제공중에있으며,기업에도맞춤형공공고용서비스제공이필요ㅇ이에,기업에서필요로하는콘텐츠를구성하기위해고용과연관성이높은데이터를식별하고다양한데이터분석기법을활용하는연구가선행",한국고용정보원,양지윤,,수의 계약,"40,000,000원"
