과제Id,기관명,과제명,분류,연구수행기관,사업연도,보고서공개여부,조회수,좋아요
1490000-202400048,고용노동부,고용상태 영향조사(2023년),사회복지,한국노동연구원,2023,공개,303,0
1490000-202400036,고용노동부,첨단산업 디지털 핵심인재 양성훈련(KDT) 분야 확대 방안 연구,교육,한국기술교육대학교 산학협력단,2023,공개,498,0
1490000-202400032,고용노동부,교통사고조사원 등 종사 실태 연구,사회복지,한국직업능력연구원,2023,공개,382,0
1490000-202400030,고용노동부,화물차주 종사 실태 연구,사회복지,한국여성정책연구원,2023,공개,408,0
1490000-202400029,고용노동부,산재보험의 보험료 부과 개선방안 연구,사회복지,사단법인 한국보험연구원,2023,공개,403,0
1490000-202400028,고용노동부,일하는 사람을 위한 산재보험법 개편에 관한 연구,사회복지,사단법인 한국노동법학회,2023,공개,413,0
1490000-202400027,고용노동부,청년고용촉진특별법 상 청년 연령 및 청년의무고용제 연장 검토 연구,사회복지,한국노동연구원,2023,공개,410,0
1490000-202400023,고용노동부,구직자 도약보장 패키지 성과 분석 및 발전방안 연구,사회복지,한국고용정보원,2023,공개,410,0
1490000-202400022,고용노동부,고용서비스 고도화를  위한 실업급여 온라인 등 부문별 해외사례연구,사회복지,건국대학교 산학협력단,2023,공개,397,0
1490000-202400021,고용노동부,고용 관련 데이터 분석을 통한 기업 맞춤 고용서비스 제공방안 연구,사회복지,한국고용정보원,2023,공개,402,0
1490000-202400020,고용노동부,"고용노동분야 ODA 사업평가 연구(스리랑카 개도국 노동시장수요기반 직업기술교육훈련 역량강화·개도국 기술격차 해소를 위한 기능경기 역량강화(필리핀,라오스,아제르바이잔))사업  중심으로",통일·외교,(사)국제개발협력실행연구원,2023,공개,391,0
1490000-202400017,고용노동부,육아휴직급여 및 가족돌봄휴가 등 제도개선에 관한 연구,사회복지,한국직업능력연구원,2023,공개,504,0
1490000-202400016,고용노동부,근로자 모성보호제도 확대에 관한 연구,사회복지,한국직업능력연구원,2023,공개,443,0
1490000-202400015,고용노동부,청년의 원활한 노동시장 진입을 위한 혁신 방안 연구,사회복지,한국노동연구원,2023,공개,490,0
1490000-202400014,고용노동부,임금체계 개편 기반의 계속고용 법제화 연구,사회복지,(사)한국고용노사관계학회,2023,공개,399,0
1490000-202400013,고용노동부,교육청 장애인 교원현황 실태조사,사회복지,가톨릭대학교 산학협력단,2023,공개,423,0
1490000-202400012,고용노동부,국제노동기준 관련 협약과 우리나라 법제(헌법 및 일반법)간 비교 연구,통일·외교,(사)국제노동법연구원,2023,비공개,422,0
1490000-202400010,고용노동부,ILO 미비준 협약 및 의정서 검토 및 중장기 비준 추진방안 연구,통일·외교,동아대학교 산학협력단,2023,공개,407,0
1490000-202400008,고용노동부,범부처 신기술 인력수급 분석 지원,교육,한국직업능력연구원,2023,부분공개,401,0
1490000-202400007,고용노동부,인공지능 알고리즘을 활용한 재해개요 분류모델 시범 개발,사회복지,충북대학교 산학협력단,2023,공개,385,0
1490000-202400006,고용노동부,여성의 갱내 근로금지 제도개선에 관한 연구,사회복지,(사)한국고용노사관계학회,2023,공개,385,0
1490000-202400005,고용노동부,민간고용서비스 활성화 방안 연구,사회복지,한국기술교육대학교 산학협력단,2023,공개,416,0
1490000-202400004,고용노동부,다층연금체계 하 퇴직연금 기능강화를 위한 세부 제도개선방안 연구,사회복지,한국연금학회,2023,공개,408,0
1490000-202400003,고용노동부,퇴직연금 연금자산형성 지원을 위한 제도설계,사회복지,한국재정학회,2023,공개,386,0
1490000-202400002,고용노동부,두루누리 사회보험료 지원사업 효과분석 및 제도개선,사회복지,한국조세재정연구원,2023,공개,379,0
1490000-202300133,고용노동부,공무원 및 교원  노사관계 법치주의 확립 방안,사회복지,사단법인 한국노동법학회,2023,공개,174,0
1490000-202300132,고용노동부,공무원 교원 근무시간 면제제도 안착을 위한 쟁점과 합리적 운영방안,사회복지,사단법인 한국노동법학회,2023,공개,174,0
1490000-202300128,고용노동부,유연근무  활용 우수사례,사회복지,한국노동사회연구소,2023,공개,408,0
1490000-202300126,고용노동부,재학생 맞춤형 고용서비스 사업 성과지표 개발 연구,사회복지,한국기술교육대학교,2023,공개,387,0
1490000-202300125,고용노동부,대학일자리플러스센터 사업 효과성 분석,사회복지,(사)한국정책학회,2023,공개,425,0
1490000-202300124,고용노동부,MSDS 제출제도 개선방안 마련 연구,공공질서 및 안전,유한회사 람볼코리아,2023,공개,366,0
1490000-202300123,고용노동부,ADR  전문가에 대한 민간수요 및 ADR전문가 양성시의 기대효과 연구,사회복지,(사)한국노동경제학회,2023,공개,374,0
1490000-202300122,고용노동부,노동쟁의 조정시스템 개선 방안에 관한 연구 포럼,사회복지,사단법인 한국고용노사관계학회,2023,공개,394,0
